step, pre_in1, pre_in2, post_in, pre1_spike, pre2_spike, post_spike, w1, w2, c1, c2
221, 86336, 87338, 0, 0, 0, 0, 0, 0, 0, 0
222, 84547, 85808, 0, 0, 0, 0, 0, 0, 0, 0
223, 87004, 85590, 0, 0, 0, 0, 0, 0, 0, 0
224, 87397, 85948, 0, 0, 0, 0, 0, 0, 0, 0
225, 86785, 84551, 0, 0, 0, 0, 10813440, 3670355, 65866, 4653056
226, 84255, 86397, 0, 1, 0, 0, 84255, 86397, 0, 83998
227, 83998, 85509, 0, 0, 0, 0, 5113088, 1, 4942849, 5530624
228, 84844, 87140, 0, 0, 1, 0, 337, 9503059, 1966080, 331
229, 86417, 86814, 0, 0, 0, 0, 86772, 0, 84822, 85987
230, 84786, 86772, 0, 1, 0, 1, 1, 4704001, 4687360, 1
231, 84822, 85987, 0, 1, 1, 0, 3408199, 6094848, 329, 16449864
232, 83911, 83846, 0, 1, 0, 0, 0, 83649, 87351, 0
233, 85300, 83805, 0, 1, 1, 1, 4773377, 4741376, 1, 5306113
234, 84475, 83979, 0, 0, 0, 0, 3407872, 334, 16187729, 6946816
235, 83649, 87351, 0, 1, 0, 0, 84973, 85041, 0, 86792
236, 84182, 84057, 0, 0, 0, 0, 5326592, 1, 4704257, 4673536
237, 86263, 83764, 0, 0, 0, 1, 332, 14942536, 1572864, 338
238, 85751, 86378, 0, 0, 0, 0, 85869, 0, 85443, 84318
239, 84973, 85041, 0, 0, 0, 1, 1, 5271297, 5179904, 1
240, 86792, 86343, 0, 1, 1, 1, 15401292, 11927552, 329, 1507666
241, 83912, 83792, 0, 1, 0, 0, 0, 87207, 86731, 0
242, 85220, 83992, 0, 0, 1, 1, 4970753, 5517824, 1, 5497857
243, 86548, 85869, 0, 0, 0, 0, 3473408, 336, 9699661, 14483456
244, 85443, 84318, 0, 1, 0, 0, 86037, 87474, 0, 85058
245, 86127, 85770, 0, 0, 0, 0, 5470720, 1, 4798465, 5003008
246, 87275, 85174, 0, 1, 0, 0, 341, 12190024, 13500416, 332
247, 84247, 86575, 0, 0, 0, 0, 86397, 0, 84938, 85798
248, 87207, 86731, 0, 0, 0, 1, 1, 4748289, 4962048, 1
249, 84953, 87090, 0, 1, 1, 0, 5767507, 4456448, 332, 11927879
250, 87012, 85557, 0, 1, 0, 0, 0, 86507, 85615, 0
251, 86164, 85469, 0, 0, 0, 0, 4701441, 5096448, 1, 5001729
252, 86037, 87474, 0, 0, 0, 0, 14024704, 334, 11272520, 7340032
253, 85058, 86906, 0, 1, 0, 0, 83654, 84685, 0, 84632
254, 84280, 85079, 0, 0, 0, 0, 5004544, 1, 5387777, 4769024
255, 87482, 84174, 0, 1, 0, 1, 334, 8323405, 6291456, 338
256, 85161, 86397, 0, 0, 0, 0, 84120, 0, 84286, 87005
257, 84938, 85798, 0, 0, 0, 0, 1, 4891137, 5308928, 1
258, 84084, 84919, 0, 1, 0, 0, 12452177, 2818048, 338, 14614867
259, 85080, 86852, 0, 1, 0, 0, 0, 87177, 86501, 0
260, 85174, 83875, 0, 0, 0, 0, 5489921, 5208576, 1, 5091073
261, 86507, 85615, 0, 0, 0, 0, 14090240, 332, 15597905, 5046272
262, 83901, 85444, 0, 1, 0, 0, 86589, 84710, 0, 84730
263, 85074, 84182, 0, 0, 0, 0, 4857600, 1, 5598977, 4679936
264, 85676, 84080, 0, 0, 0, 0, 0, 0, 0, 0
265, 83654, 84685, 0, 0, 0, 0, 0, 0, 0, 0
266, 84632, 85085, 0, 0, 0, 0, 0, 0, 0, 0
267, 86582, 84165, 0, 0, 0, 0, 0, 0, 0, 0
268, 85631, 85344, 0, 0, 0, 0, 0, 0, 0, 0
269, 86565, 84120, 0, 0, 0, 0, 0, 0, 0, 0
270, 84286, 87005, 0, 0, 0, 0, 0, 0, 0, 0
271, 84642, 86274, 0, 0, 0, 0, 0, 0, 0, 0
272, 86206, 86315, 0, 0, 0, 0, 0, 0, 0, 0
273, 86751, 86849, 0, 0, 0, 0, 0, 0, 0, 0
274, 87177, 86501, 0, 0, 0, 0, 0, 0, 0, 0
275, 86981, 85882, 0, 0, 0, 0, 0, 0, 0, 0
276, 85423, 86231, 0, 0, 0, 0, 0, 0, 0, 0
277, 85230, 86349, 0, 0, 0, 0, 0, 0, 0, 0
278, 86589, 84710, 0, 0, 0, 0, 0, 0, 0, 0
279, 84730, 84511, 0, 0, 0, 0, 0, 0, 0, 0
280, 87407, 83817, 0, 0, 0, 0, 0, 0, 0, 0
281, 84717, 86495, 0, 0, 0, 0, 10813440, 3670346, 15532369, 14614528
282, 87493, 87162, 0, 1, 0, 0, 87493, 87162, 0, 86114
283, 86114, 87399, 0, 0, 0, 0, 5596928, 1, 4941057, 4902912
284, 84837, 84688, 0, 0, 0, 1, 327, 11862352, 11206656, 334
285, 83893, 86187, 0, 0, 0, 0, 85114, 0, 87443, 84294
286, 85708, 85114, 0, 1, 0, 0, 1, 5307393, 4684544, 1
287, 87443, 84294, 0, 0, 0, 0, 7471433, 16449536, 333, 10944841
288, 86268, 83835, 0, 1, 0, 0, 0, 86484, 84182, 0
289, 84338, 84475, 0, 0, 0, 0, 4847617, 5540608, 1, 5306369
290, 85415, 84280, 0, 0, 0, 0, 14942208, 327, 16122188, 16711680
291, 86484, 84182, 0, 1, 0, 0, 85533, 84787, 0, 84925
292, 84472, 87179, 0, 0, 0, 0, 5150208, 1, 4954369, 5391872
293, 86264, 86244, 0, 0, 0, 1, 335, 16253257, 3604480, 337
294, 83958, 85247, 0, 0, 0, 0, 84790, 0, 83791, 86488
295, 85533, 84787, 0, 1, 1, 1, 1, 5365505, 4958720, 1
296, 84925, 85654, 0, 1, 0, 1, 7536979, 3997696, 336, 9568597
297, 84889, 86598, 0, 1, 0, 0, 0, 85832, 85156, 0
298, 86008, 84279, 0, 1, 0, 1, 4928001, 5127168, 1, 4854785
299, 86492, 84790, 0, 0, 0, 0, 589824, 328, 14811469, 12582912
300, 83791, 86488, 0, 1, 0, 0, 83711, 84088, 0, 84861
301, 86495, 84906, 0, 0, 0, 0, 5539840, 1, 5046785, 4768512
302, 85875, 86845, 0, 0, 0, 1, 337, 13173064, 6553600, 330
303, 86162, 87381, 0, 0, 0, 0, 83942, 0, 83852, 86323
304, 85832, 85156, 0, 1, 1, 0, 1, 5192705, 5093376, 1
305, 84786, 85564, 0, 0, 1, 0, 4784457, 3997696, 334, 14877001
306, 84500, 87305, 0, 1, 0, 0, 0, 84465, 84050, 0
307, 84194, 85440, 0, 0, 0, 1, 4982017, 4680960, 1, 5251585
308, 83711, 84088, 0, 0, 0, 0, 10092544, 335, 15335763, 12910592
309, 84861, 87176, 0, 1, 0, 0, 86351, 86099, 0, 87159
310, 85250, 84163, 0, 0, 0, 0, 4985088, 1, 5533185, 5177600
311, 86473, 84068, 0, 1, 0, 1, 330, 590159, 15728640, 334
312, 84716, 83942, 0, 0, 0, 0, 86755, 0, 87366, 85366
313, 83852, 86323, 0, 1, 1, 1, 1, 4986625, 4817408, 1
314, 85820, 85432, 0, 1, 1, 1, 10027348, 3211264, 336, 13173063
315, 86857, 84285, 0, 1, 0, 0, 0, 84954, 85089, 0
316, 85731, 84458, 0, 0, 0, 1, 5535233, 5375744, 1, 5568001
317, 84465, 84050, 0, 0, 0, 0, 12582912, 338, 13304144, 5308416
318, 84997, 83821, 0, 1, 0, 0, 86179, 83888, 0, 86489
319, 86050, 87194, 0, 0, 0, 0, 5577216, 1, 4977153, 5514496
320, 85994, 86981, 0, 0, 0, 0, 0, 0, 0, 0
321, 86351, 86099, 0, 0, 0, 0, 0, 0, 0, 0
322, 87159, 85009, 0, 0, 0, 0, 0, 0, 0, 0
323, 87150, 85761, 0, 0, 0, 0, 0, 0, 0, 0
324, 84489, 86000, 0, 0, 0, 0, 0, 0, 0, 0
325, 85717, 86755, 0, 0, 0, 0, 0, 0, 0, 0
326, 87366, 85366, 0, 0, 0, 0, 0, 0, 0, 0
327, 85015, 84354, 0, 0, 0, 0, 0, 0, 0, 0
328, 83865, 87089, 0, 0, 0, 0, 0, 0, 0, 0
329, 86217, 83839, 0, 0, 0, 0, 0, 0, 0, 0
330, 84954, 85089, 0, 0, 0, 0, 0, 0, 0, 0
331, 87158, 86535, 0, 0, 0, 0, 0, 0, 0, 0
332, 87286, 87232, 0, 0, 0, 0, 0, 0, 0, 0
333, 86731, 86097, 0, 0, 0, 0, 0, 0, 0, 0
334, 86179, 83888, 0, 0, 0, 0, 0, 0, 0, 0
335, 86489, 87322, 0, 0, 0, 0, 0, 0, 0, 0
